row_id,lat_deg,lon_deg,report_date,status_id,water_source,water_tech,facility_type,country_name,install_year,installer,pay,status
253677,9.431613393079711,-12.2717990556987,08/15/2016,y,Borehole,Hand Pump - PB Mark II,Improved,Sierra Leone,1982.0,JICA,No payment – its free,Functional (and in use) Damaged Apron|Damaged Concrete
146054,1.04737557,33.80146398,04/13/2010,y,Undefined Shallow Well,,Unknown,Uganda,2007.0,,,Functional
217461,11.71250395,38.07333145,04/06/2010,y,Undefined Shallow Well,,Unknown,Ethiopia,,MWA-CARE,,
220737,8.637405131504396,-13.216001932545907,08/09/2016,n,Protected Shallow Well,Hand Pump - Kardia,Improved,Sierra Leone,2006.0,Private,,Broken down Damaged Well|Damaged Apron|Damaged Pump|Damaged Pipe
298349,-19.13499,33.46222,02/13/2020,y,Borehole,Hand Pump - Afridev,Improved,Mozambique,2020.0,,,
168316,0.53285467,32.37468774,07/08/2010,y,Undefined Shallow Well,,Unknown,Uganda,2009.0,,Water Committee Collects Fees,Functional
247308,-26.6081532707062,31.1916272918438,12/08/2014,y,Surface Water (River/Stream/Lake/Pond/Dam),Tapstand,No facilities,Swaziland,1986.0,,0,
560063,-2.194399,29.908555,07/23/2020,y,Borehole,,Improved,Rwanda,2019.0,,,
511632,8.344617,-13.217709,01/26/2012,n,,Tapstand,,Sierra Leone,,Community,,still under construction
273540,11.656306,38.111248,01/01/2021,y,Undefined Shallow Well,,Unknown,Ethiopia,2005.0,,,
365038,6.944348,37.01799,01/01/2021,y,Undefined Spring,,Unknown,Ethiopia,2007.0,,,
13797,-19.51226203,30.61768736,03/09/2016,y,Protected Shallow Well,Hand Pump,Improved,Zimbabwe,1992.0,,,Fully Functional
313024,12.60975,-0.83075,08/10/2020,y,Borehole,,Improved,Burkina Faso,,,,
160200,1.00787044,31.74466619,04/15/2010,y,Surface Water (River/Stream/Lake/Pond/Dam),,No facilities,Uganda,,,,Functional
158582,0.69110101,32.00759866,04/16/2010,n,Protected Spring,,Improved,Uganda,1992.0,,,Non-Functional
270028,11.72118,37.657125,04/06/2020,y,,Hand Pump,,Ethiopia,1998.0,ORDA,,
191995,-0.16197274,31.6460793,09/30/2010,y,Rainwater Harvesting,,Improved,Uganda,2010.0,,,Functional
509794,8.393206,-13.15202,05/02/2012,y,,Tapstand,,Sierra Leone,2010.0,Private Person,No- water is free,functional
457821,5.5487883,6.23746,10/28/2015,y,Borehole,Mechanized Pump,Improved,Nigeria,,,No,Functional (and in use)
51698,-17.06092,27.55155,10/30/2013,y,Borehole,Mechanized Pump,Improved,Zambia,2002.0,World Vision,,
510386,8.219298,-13.096109,02/14/2012,n,,Tapstand,,Sierra Leone,2008.0,FCC,No water,broken down
435385,8.9344067,7.0761817,05/26/2015,n,Borehole,Hand Pump,Improved,Nigeria,2013.0,,No,Non-functional Technical breakdown
259118,7.777478439089341,-11.726440649121423,09/19/2016,n,,Tapstand,,Sierra Leone,2004.0,UNICEF,,Broken down Damaged Pump|Damaged Pipe|Damaged Tap|Damaged Tank|Damaged Reservoir
32603,2.22761443,33.19463692,07/05/2010,y,Protected Spring,,Improved,Uganda,2009.0,,,Functional
180964,0.89414583,30.79161929,06/18/2010,y,Undefined Shallow Well,,Unknown,Uganda,2005.0,,Water Committee Collects Fees,Functional
34974,12.687,-2.12892,01/07/2016,n,,,,Burkina Faso,,,no,deficient- Disused- Abandoned
31648,-16.65957915,29.27369557,08/15/2016,y,Borehole,Hand Pump,Improved,Zimbabwe,1956.0,,,Partially Functional
81478,6.29609244,-10.79051339,05/31/2017,y,Protected Shallow Well,Hand Pump - India Mark,Improved,Liberia,,Private,"Yes, Per jerrican 20L",Functional (and in use)
13202,-21.00128964,29.81762359,05/06/2016,y,Borehole,Hand Pump,Improved,Zimbabwe,1995.0,,,Fully Functional
245192,-26.5849921142086,31.1807457915689,07/08/2014,y,Protected Spring,Tapstand,Improved,Swaziland,1988.0,,0,
448733,12.5801,8.47124,05/08/2015,y,Borehole,Mechanized Pump,Improved,Nigeria,,,No,Functional (and in use)
538311,11.797847,38.051541,04/06/2012,y,,Hand Pump,,Ethiopia,2008.0,ORDA,,functional
43639,10.05176,32.01113,04/19/2002,y,Unprotected Spring,,Unimproved,South Sudan,,,,operational
154960,0.21446429,32.21311285,09/07/2011,y,Undefined Shallow Well,,Unknown,Uganda,2010.0,,Water Committee Collects Fees,Functional
252120,8.69382141550919,-12.528299996970686,09/15/2016,n,Protected Shallow Well,Hand Pump,Improved,Sierra Leone,2011.0,Religious Group,,Broken down Damaged Well
421582,13.608575,5.49277,06/21/2015,n,Borehole,Hand Pump,Improved,Nigeria,,,No,Non-functional Technical breakdown
374759,-0.566333333333333,57.40145,09/28/2014,u,Protected Shallow Well,,Improved,Kenya,,,,
435470,8.9423917,7.440495,06/12/2015,y,Borehole,Mechanized Pump,Improved,Nigeria,2006.0,,Yes Point of collection,Functional (and in use)
51301,8.19885,-0.25149,09/29/2013,u,Borehole,Mechanized Pump,Improved,Ghana,1984.0,,,
31266,-18.5528602,30.4813438,07/25/2016,y,Borehole,Hand Pump,Improved,Zimbabwe,2016.0,,,Fully Functional
116596,-1.742951413,31.602014388,11/22/2007,n,Undefined Spring,Tapstand,Unknown,Tanzania,1972.0,SIDA,Never pay,"Insufficient Water Quantity,  Be repaired"
273134,11.620325,37.642075,01/01/2021,u,Protected Spring,,Improved,Ethiopia,2005.0,,,
265997,8.01449871,-11.1129078,11/12/2016,y,,Tapstand,,Sierra Leone,1986.0,Water Aid,No payment – its free,Functional (and in use) No Damages
404299,12.464742,8.7998233,01/23/2015,y,Borehole,Hand Pump,Improved,Nigeria,2012.0,,No,Functional (and in use)
411684,7.4811998,4.1049709,02/06/2015,y,Protected Shallow Well,Hand Pump,Improved,Nigeria,,,No,Functional (and in use)
61208,0.140993333333333,30.353045,03/07/2017,y,Protected Shallow Well,,Improved,Uganda,2010.0,,,Poor  it needs rehabilitation
115961,-0.997798714,31.738242597,09/13/2008,n,Undefined Spring,Tapstand,Unknown,Tanzania,1967.0,RWE,Never pay,"Dry Water Quantity, Abandoned Abandoned wpt"
576629,0.6959792415,34.3670118002,02/03/2015,y,Protected Shallow Well,,Improved,Kenya,,,,
110710,-0.14819001,34.51358,04/24/2012,y,Protected Shallow Well,Hand Pump - Afridev,Improved,Kenya,1999.0,,Metered (ksh/m3),Functional ( in use) good
145383,1.39954113,34.4569807,09/29/2010,y,,Tapstand,,Uganda,1998.0,,,Functional
258398,7.695840018455556,-11.73535396720595,09/17/2016,y,Protected Shallow Well,Hand Pump - India Mark,Improved,Sierra Leone,2014.0,Government,No payment – its free,Functional (and in use) No Damages
478539,9.598296,-11.549686,03/03/2012,y,Unprotected Shallow Well,Rope and Bucket,Unimproved,Sierra Leone,1990.0,Private Person,No- water is free,functional
365523,9.211633,-12.228158,02/23/2012,n,,Tapstand,,Sierra Leone,2011.0,Private Person,No water,broken down
512885,7.167625,5.1342067,09/07/2015,n,Borehole,Mechanized Pump,Improved,Nigeria,1998.0,,No,Non-functional Technical breakdown
361981,10.774647,36.265648,01/01/2021,y,Undefined Shallow Well,,Unknown,Ethiopia,2007.0,,,
120032,-3.728314065,37.589017554,07/21/2008,n,Undefined Spring,Tapstand,Unknown,Tanzania,1975.0,RWE,Pay per bucket,"Dry Water Quantity, low water High demand due to low water volume in the sourcee"
536547,8.7975883,11.004557,05/05/2015,n,Borehole,Hand Pump,Improved,Nigeria,2013.0,,No,Non-functional Technical breakdown
154533,1.71603146,31.41120599,05/05/2010,y,Undefined Shallow Well,,Unknown,Uganda,2005.0,,Water Committee Collects Fees,Functional
272335,13.178031,37.348656,01/01/2021,y,Undefined Shallow Well,,Unknown,Ethiopia,2004.0,,,
373175,8.077090372626918,-2.398594410588117,12/16/2014,n,Borehole,Hand Pump - India Mark,Improved,Ghana,1994.0,,No tariff,Not functional
498644,5.0392891,-7.96737803,12/01/2015,y,,Hand Pump,,Liberia,,,,
164987,0.53844565,32.75240502,04/21/2010,n,Undefined Shallow Well,,Unknown,Uganda,2002.0,,,Non-Functional
298869,-15.583912,23.659298,03/22/2018,y,Borehole,Hand Pump - India Mark,Improved,Zambia,2015.0,,,
381182,10.737091349467898,-0.809688187794647,09/16/2014,y,Borehole,Hand Pump - Afridev,Improved,Ghana,2013.0,,Only when there is a breakdown,No funds
218132,11.81576645,38.10649805,04/06/2012,y,Undefined Shallow Well,,Unknown,Ethiopia,,MWA-CARE,,
91044,6.225386666666666,-10.539381666666667,05/31/2017,u,Unprotected Shallow Well,,Unimproved,Liberia,,,,
273968,11.729235,38.091534,01/01/2021,y,Undefined Shallow Well,,Unknown,Ethiopia,2009.0,,,
242769,-26.3739596475605,31.4380907077066,07/23/2014,y,Borehole,Tapstand,Improved,Swaziland,2011.0,,10,
560498,0.06,30.881972,03/20/2020,y,Borehole,,Improved,Uganda,2018.0,,,
219804,8.48418116569519,-13.24055314064026,08/26/2016,y,,Tapstand,,Sierra Leone,1994.0,GVWC,No payment – its free,Functional (and in use) No Damages
375036,9.21634603,26.9498919,11/02/2016,y,Borehole,Hand Pump - India Mark,Improved,South Sudan,,IOM,,
377572,10.372442898920228,-2.76876029926682,10/16/2014,y,Borehole,Hand Pump - Afridev,Improved,Ghana,2010.0,,They do not pay,Time to raise or access funds
146693,0.95443407,33.37387059,08/13/2012,y,Borehole,,Improved,Uganda,2012.0,,,Functional
119526,-3.70627034,37.639585351,06/27/2008,y,Surface Water (River/Stream/Lake/Pond/Dam),Tapstand,No facilities,Tanzania,2005.0,Private,Never pay,"Enough Water Quantity,  Most of the households are served by private connection in their house"
68708,2.60539454,33.11939462,07/01/2010,n,Protected Spring,,Improved,Uganda,2000.0,,,Non-Functional
550572,7.935902,-11.72242,12/31/2019,u,Piped Water,,Improved,Sierra Leone,,,,
246255,-26.5602969741875,31.433513661693,07/16/2014,y,Borehole,Tapstand,Improved,Swaziland,2007.0,,20,
483195,7.939952,-11.725789,02/15/2012,y,Unprotected Shallow Well,Rope and Bucket,Unimproved,Sierra Leone,,Private Person,No- water is free,functional
544007,7.864878,-11.17815,12/31/2019,u,Borehole,,Improved,Sierra Leone,,,,
568081,3.07655572,30.94509615,04/22/2010,y,Borehole,,Improved,Uganda,2001.0,,,Functional
87420,5.114615,-8.215968333333333,05/31/2017,y,Protected Shallow Well,Hand Pump - Afridev,Improved,Liberia,,NGO,Only after system breakdown,Functional (and in use)
449733,9.6441133,7.4044733,11/01/2015,y,Borehole,Hand Pump,Improved,Nigeria,,,No,Functional (and in use)
570960,8.353489906,-0.060452818,10/28/2014,y,Borehole,Hand Pump - Afridev,Improved,Ghana,2014.0,,They do not pay,No funds
50607,2.6571,32.4533,10/07/2013,y,Borehole,Mechanized Pump,Improved,Uganda,2012.0,World Vision,,
201228,-0.89839211,30.13545191,04/28/2010,n,,Tapstand,,Uganda,1995.0,,,Non-Functional
497649,6.176659,-8.031187,01/22/2011,y,Protected Shallow Well,Hand Pump - Afridev,Improved,Liberia,2007.0,WAD,,Working and protected Not damaged
74107,1.30091624,33.93861225,06/29/2010,y,Borehole,,Improved,Uganda,2002.0,,Water Committee Collects Fees,Functional
170934,0.49819926,32.65598545,06/23/2010,y,Rainwater Harvesting,,Improved,Uganda,2006.0,,Water Committee Collects Fees,Functional
181264,0.76029643,31.04333845,06/16/2010,y,Protected Spring,,Improved,Uganda,2004.0,,,Functional
24067,-21.00102877,30.42431852,03/31/2016,y,Borehole,Hand Pump,Improved,Zimbabwe,1988.0,,,Fully Functional
514397,8.145931,4.7238731,08/20/2015,n,Protected Shallow Well,Hand Pump,Improved,Nigeria,,,No,Non-functional Technical breakdown
515095,8.4618267,4.9610767,08/28/2015,n,Borehole,Hand Pump,Improved,Nigeria,2010.0,,No,Non-functional uncompleted project
85784,4.385461666666667,-7.701593333333333,05/31/2017,y,Protected Shallow Well,Hand Pump - Afridev,Improved,Liberia,,NGO,No payment – its free,Functional (and in use)
46016,4.576318,18.400813,09/07/2020,y,,Hand Pump - Vergnet,,Central African Republic,,,,Yes pump_problem
373924,6.997206363725315,-2.453130494674459,09/02/2014,y,Protected Shallow Well,Hand Pump - Nira,Improved,Ghana,1998.0,,No tariff,Functional
272725,11.483864,37.989483,05/18/2019,y,Undefined Shallow Well,,Unknown,Ethiopia,2010.0,,,
51606,10.9522,-0.9512,10/29/2013,u,Borehole,Mechanized Pump,Improved,Ghana,2013.0,World Vision,,
98835,6.408103333333334,-8.557751666666666,05/31/2017,y,Protected Shallow Well,Hand Pump - Afridev,Improved,Liberia,,NGO,Unkown,Functional (and in use)
148452,1.07520422,34.27211058,04/20/2010,y,,Tapstand,,Uganda,2004.0,,,Functional
133531,1.26955438,34.70926144,10/12/2010,y,Protected Spring,,Improved,Uganda,2001.0,,Water Committee Collects Fees,Functional
178825,0.32924294,30.0760352,06/23/2010,y,,Tapstand,,Uganda,2007.0,,,Functional
271754,9.245932,66.58712,01/01/2021,y,Undefined Shallow Well,,Unknown,Ethiopia,2005.0,,,
429269,7.4306832,4.9500434,05/15/2015,y,Borehole,Mechanized Pump,Improved,Nigeria,2014.0,,No,Functional (and in use)
190781,-0.56172075,31.40672532,04/14/2010,y,Borehole,,Improved,Uganda,1986.0,,,Functional
380207,10.902927704843318,-0.873838100386513,08/14/2014,y,Borehole,Hand Pump - India Mark,Improved,Ghana,2013.0,,They do not pay,Not applicable (no downtime over the last year)
60540,0.256821666666667,30.642413333333334,03/07/2017,y,Borehole,,Improved,Uganda,2014.0,,,Normal
253407,7.787328766905601,-12.299891233235696,09/14/2016,y,,Rope and Bucket,,Sierra Leone,2011.0,,No payment – its free,Functional (and in use) No Damages
572844,9.63030735697944,-1.24222118859024,10/30/2014,y,Borehole,Hand Pump - Afridev,Improved,Ghana,2013.0,,Only when there is a breakdown,Time to get area mechanic
165503,0.70486652,32.41902704,05/06/2010,y,Undefined Shallow Well,,Unknown,Uganda,2004.0,,Water Committee Collects Fees,Functional
171003,0.41711456,32.57114515,08/30/2010,y,,Kiosk,,Uganda,2003.0,,Water Committee Collects Fees,Functional
364178,8.516202,37.031483,01/01/2021,y,Protected Spring,,Improved,Ethiopia,2006.0,,,
240716,-26.814806662748,31.5920596110911,05/16/2015,y,Surface Water (River/Stream/Lake/Pond/Dam),Tapstand,No facilities,Swaziland,1994.0,,5,
19466,-19.47785889,31.4399295,03/22/2016,u,Unprotected Shallow Well,Rope and Bucket,Unimproved,Zimbabwe,2011.0,,,
514741,8.830445,4.8385933,08/26/2015,y,Borehole,Hand Pump,Improved,Nigeria,2008.0,,No,Functional and in use but in bad shape
243726,-26.4509206365289,31.3020210085238,03/07/2014,y,Borehole,Tapstand,Improved,Swaziland,1990.0,,20,
181678,0.69066597,31.23150022,06/16/2010,y,Protected Spring,,Improved,Uganda,2000.0,,,Functional
454953,4.848455,8.50851,08/26/2015,n,Borehole,Mechanized Pump,Improved,Nigeria,2007.0,,No,Non-functional Technical breakdown
175061,0.40517567,30.38752759,08/01/2010,y,Rainwater Harvesting,,Improved,Uganda,2003.0,,,Functional
75232,1.61039069,33.78874569,06/15/2010,y,Borehole,,Improved,Uganda,2006.0,,Water Committee Collects Fees,Functional
154775,0.11639389,31.99874584,09/14/2010,y,,Tapstand,,Uganda,2006.0,,Water Committee Collects Fees,Functional
369303,12.699282,39.524555,01/01/2021,y,Undefined Spring,,Unknown,Ethiopia,2006.0,,,
137332,-12.69644333333333,30.81582333333333,10/18/2014,n,Unprotected Shallow Well,Rope and Bucket,Unimproved,Zambia,2009.0,GRZ|Village Water,,No
233673,-26.3467778075883,30.9722524215984,11/02/2014,y,Surface Water (River/Stream/Lake/Pond/Dam),Tapstand,No facilities,Swaziland,2002.0,,20,
172220,0.67790358,29.99620094,06/25/2010,y,,Tapstand,,Uganda,2001.0,,,Functional
232806,-26.161275472461,31.5241529490244,12/20/2013,y,Borehole,Tapstand,Improved,Swaziland,2013.0,,0,
224854,8.92276385,-12.84910181,07/31/2016,y,,Rope and Bucket,,Sierra Leone,2014.0,,No payment – its free,Functional (but not in use) No cover slab
151147,1.16096022,33.70713154,04/09/2010,n,,Tapstand,,Uganda,2000.0,,,Decommissioned
570169,-0.9811786728,34.3768159702,08/27/2014,u,Unprotected Shallow Well,,Unimproved,Kenya,,,,
490628,6.909082,-10.581197,02/11/2011,y,Protected Shallow Well,Hand Pump - Afridev,Improved,Liberia,2009.0,German Agro Action GAA,,Working and protected Not damaged
501093,6.44828816,-10.62339832,12/08/2015,y,,Hand Pump,,Liberia,,,,
512511,6.8270817,4.92954,09/09/2015,n,Borehole,Hand Pump,Improved,Nigeria,,,No,Non-functional Technical breakdown
326591,-2.16464,29.022705,02/02/2014,y,,,,Congo - Kinshasa,,,,Satisfaisant
416621,7.8024232,4.9566855,01/31/2015,y,Borehole,Hand Pump,Improved,Nigeria,,,No,Functional (and in use)
314575,10.805123,37.517914,01/01/2021,y,Undefined Shallow Well,,Unknown,Ethiopia,2008.0,,,
197459,-1.344146,30.70596288,05/13/2010,y,Rainwater Harvesting,,Improved,Uganda,1992.0,,,Functional
80571,6.91148597,-10.939308,05/31/2017,u,Unprotected Spring,,Unimproved,Liberia,,,,
315075,7.785251667,-12.294415,02/01/2019,y,Borehole,Hand Pump,Improved,Sierra Leone,,6,,
167746,-0.01609417,32.36152284,05/05/2010,n,Undefined Shallow Well,,Unknown,Uganda,2006.0,,Water Committee Collects Fees,Non-Functional
432138,7.6495967,4.72937,05/13/2015,n,Borehole,Hand Pump,Improved,Nigeria,,,No,Non-functional Technical breakdown
567678,3.05879098,30.78305424,04/20/2010,y,Protected Spring,,Improved,Uganda,1995.0,,,Functional
83248,6.30038725,-10.67862213,05/31/2017,u,Unprotected Shallow Well,,Unimproved,Liberia,,,,
551189,8.344999,-11.32983,12/31/2019,u,Borehole,,Improved,Sierra Leone,,,,
155258,0.04144529,33.26678867,09/07/2011,n,Rainwater Harvesting,,Improved,Uganda,2005.0,,,Non-Functional
427738,7.6495933,4.1864667,05/12/2015,n,Borehole,Hand Pump,Improved,Nigeria,2008.0,,No,Non-functional Technical breakdown
407477,10.134164,6.0264882,01/23/2015,y,Borehole,Hand Pump,Improved,Nigeria,2003.0,,No,Functional (and in use)
196117,-0.66789512,30.85789032,05/15/2010,y,Rainwater Harvesting,,Improved,Uganda,2009.0,,,Functional
388578,8.9407199,9.8085331,01/27/2015,y,Borehole,Mechanized Pump,Improved,Nigeria,2012.0,,Yes At breakdown,Functional (and in use)
482599,7.963273,-11.734342,03/17/2012,y,Unprotected Shallow Well,Rope and Bucket,Unimproved,Sierra Leone,,Private Person,No- water is free,functional
363869,7.723918,36.968327,01/01/2021,y,Undefined Shallow Well,,Unknown,Ethiopia,2006.0,,,
374355,12.3848426,38.0136438,06/11/2020,y,,Hand Pump - Afridev,,Ethiopia,2001.0,SFT,No,
454386,10.475805,7.4063783,10/24/2015,y,Borehole,Mechanized Pump,Improved,Nigeria,,,No,Functional (and in use)
544644,9.344301,-10.80682,12/31/2019,u,Undefined Shallow Well,,Unknown,Sierra Leone,,,,
272520,13.102453,37.867439,01/01/2021,y,Undefined Shallow Well,,Unknown,Ethiopia,2007.0,,,
75617,1.60286642,33.36597226,09/06/2011,y,Borehole,,Improved,Uganda,2011.0,,Water Committee Collects Fees,Functional
134420,0.46461201,34.09264967,05/14/2010,y,,Tapstand,,Uganda,2008.0,,,Functional
71858,1.25218144,34.04354192,05/03/2010,y,Protected Spring,,Improved,Uganda,2003.0,,,Functional
105306,-5.77869308697,36.4581185635,07/16/2005,y,Borehole,Tapstand,Improved,Tanzania,1998.0,LVIA,Not recorded,"Insufficient Water Quantity,"
516629,7.76318071,43.72290399,02/10/2014,y,Piped Water,,Improved,Ethiopia,,,,
208901,-0.81925004,30.62389767,05/06/2010,y,Rainwater Harvesting,,Improved,Uganda,2006.0,,,Functional
560232,-0.86435,30.3708422,07/09/2018,y,Protected Spring,,Improved,Uganda,2016.0,,,
226148,-26.9709538222849,31.2917948513646,10/06/2015,y,Surface Water (River/Stream/Lake/Pond/Dam),Tapstand,No facilities,Swaziland,1983.0,,12,
267607,9.53208386,-10.95993289,08/08/2016,y,Protected Shallow Well,Hand Pump - India Mark,Improved,Sierra Leone,2016.0,OXFAM,No payment – its free,Functional (and in use) Damaged Apron|Damaged Concrete
